,beta_1,beta_2,beta_3,beta_4,beta_5
2022-12-28,0.2250374632699184,-0.0048095832422923,0.237171410409117,0.0196453402953597,-0.0362823978523259
2022-12-29,0.2207741291045666,-0.0138687919801553,0.235247135191136,0.0146462045925049,-0.0359241340903258
2022-12-30,0.2207959736256117,-0.0095171370363166,0.2351474865300544,0.0142032614272887,-0.0383080245738465
2023-01-03,0.2178159332489683,0.0038195414185077,0.2522690430822392,0.0196527300715812,-0.0412257933449029
2023-01-04,0.2174180136855676,-0.013586577539401,0.256800038557203,0.0226478193541659,-0.041455775414528
2023-01-05,0.2148483011278042,0.0018307615350203,0.2453195839513041,0.0164146145133021,-0.0417142857920225
2023-01-06,0.2111772217861853,-0.019376799753127,0.252185763001716,0.016327390960774,-0.0420914167051477
2023-01-09,0.2098662334943677,0.0008197454324484,0.242092123349211,0.0073408888994661,-0.0399038381284028
2023-01-10,0.2060655531805899,-0.0089142844803511,0.26738505025416,0.0271583915218939,-0.047592839600765
2023-01-11,0.2025460265468023,0.003280942595231,0.22770709542299,-0.0029221173875309,-0.0377494260778175
2023-01-12,0.2064988213039639,-0.0609568326096627,0.2666329016107619,0.0151839291720419,-0.0507607472778902
2023-01-13,0.2009999326433047,-0.0566032122796466,0.2612887418863169,0.0076399472068057,-0.0484605923689996
2023-01-17,0.1999967689722789,-0.0468143005098627,0.2752494055084436,0.01084917246816,-0.0512550246498566
2023-01-18,0.1981611077423209,-0.0251533679715968,0.2877315581775821,0.0185146627016701,-0.0534282884031247
2023-01-19,0.2000333713023687,-0.0187772519982579,0.2866500710227505,0.0218594637673973,-0.0512654027884152
2023-01-20,0.1968567542557351,-0.035255806947975,0.2970848035232026,0.0240189579267123,-0.0539073647296683
2023-01-23,0.1928186913215734,-0.0303015588135649,0.2937271055709951,0.0175620818822465,-0.0528885218565102
2023-01-24,0.1916650443473884,-0.0313199647872516,0.2880762189249337,0.0182091849656607,-0.0491444807237315
2023-01-25,0.1874029896072326,-0.0286392635092177,0.299890214993216,0.0219707390333729,-0.0518291857728963
2023-01-26,0.1840894201446479,-0.0283778086028089,0.3027276459975433,0.0225880889382518,-0.0538001322228112
2023-01-27,0.1833764987398075,-0.0292690523586914,0.3017113495136054,0.0221413244257499,-0.0524715245515445
2023-01-30,0.182823455049587,0.0033527673074097,0.2927708110822266,0.0200422453089718,-0.0515902313019439
2023-01-31,0.1896281295542773,-0.0389505847719938,0.2748895217135549,0.08660569463553,-0.0466959628281454
2023-02-01,0.1827412983638928,-0.0307413898877976,0.2838231039604614,0.0135118474463935,-0.0491496402548159
2023-02-02,0.1805053323021209,-0.0326857470506851,0.3155640421343678,0.0190145331210059,-0.0552358260638137
2023-02-03,0.1838702006000974,-0.0322687905608303,0.3088125749235134,0.0219018537714238,-0.0559356026589312
2023-02-06,0.1838467948667249,-0.0087744375720322,0.3029657308579171,0.0193408404472914,-0.0526437539753607
2023-02-07,0.1815213195802436,-0.0212354060390613,0.3077480984780937,0.018902594852075,-0.0528843917847695
2023-02-08,0.1849396294076614,-0.0032749067282405,0.2991945160574326,0.0187141853242609,-0.0477250000317904
2023-02-09,0.1854033102842233,0.0214378112787908,0.2974822567977327,0.0222464224727467,-0.045638249547071
2023-02-10,0.1884867968153276,-0.0028881663851313,0.3125779050509699,0.0341024760723962,-0.0541666991842871
2023-02-13,0.1881398761849071,-0.0151116387047337,0.3055912264266345,0.0259817278225977,-0.0506693047226185
