,h_y,h_beta_1,h_beta_2,h_beta_3,h_beta_4,h_beta_5
2022-12-29,0.0123105898507499,0.025462528000586,0.021446961917571,0.0111015322767501,0.0107092385120152,0.0038510868753345
2022-12-30,0.0117929440087089,0.0264822791505833,0.021446961917571,0.0074135280173423,0.0069569023768776,0.0038510868753345
2023-01-03,0.0119294170335681,0.0255955384692763,0.0129909004399778,0.0073948823721083,0.0068526230588838,0.0033438061827482
2023-01-04,0.0121789624590804,0.025367574512467,0.0105330053194789,0.015123672990422,0.009245456349072,0.002465073208842
2023-01-05,0.0116158915721659,0.0245165251109816,0.0042375984018135,0.008114398750356,0.0092517634551666,0.0027620486704921
2023-01-06,0.0119528300813102,0.0243623883776775,0.0035628216377164,0.0106847512048682,0.0066339591035996,0.0029335226606046
2023-01-09,0.0110903666579995,0.0242967523863063,0.0001627036746835,0.007673982089606,0.0071214916253094,0.0034363817054983
2023-01-10,0.0116455525939227,0.0238870328274801,0.0019333580031293,0.0100666253360426,0.0088173661799019,0.0051366109992544
2023-01-11,0.0111325477825406,0.0238504010372455,0.0006541672918705,0.0164995119080737,0.0182895533886726,0.0024045622769071
2023-01-12,0.011316742420012,0.0239066730448954,0.0022319031075193,0.0256621023255492,0.0162980029067021,0.0066905397818772
2023-01-13,0.0095388865874988,0.0221473496953186,0.0085134490551406,0.0189012131962622,0.0183028388983809,0.0025389403263203
2023-01-17,0.0093697435237336,0.0230237576405688,0.002773580191192,0.0102958957811064,0.0067266994535332,0.0023212846169748
2023-01-18,0.0096184704608515,0.0224775569180174,0.0039425293909951,0.0103015546758634,0.0067021717503927,0.0024823319403686
2023-01-19,0.0101901237061373,0.0221210777398541,0.006476911503875,0.012286138391741,0.008143329569548,0.0022932438930828
2023-01-20,0.010491979282904,0.0208802452578806,0.0061911623337985,0.0073710752650083,0.0080259410574605,0.0031503324865427
2023-01-23,0.0098038865352638,0.0209308422419931,0.0009072143929935,0.0098894916244588,0.0085730462548976,0.0023066036256938
2023-01-24,0.0097342973083539,0.0212923192991082,0.0003081233349757,0.0073504949955153,0.0068292562463556,0.0028607239545661
2023-01-25,0.0096387657379827,0.0208690220244211,0.0004086175985887,0.0100593605717675,0.0068155560811639,0.0055060812714652
2023-01-26,0.0094861051278087,0.0212047768800857,0.0001158711522576,0.0099937084022085,0.0081881611267441,0.0041710190508482
2023-01-27,0.0093107631426746,0.0212881567162365,0.000236678679516,0.007883354747305,0.0073608224904537,0.0030985109617411
2023-01-30,0.0092435866958989,0.0207893142354251,0.0004760094467552,0.0073199189861325,0.0070438447073552,0.0039198404531651
2023-01-31,0.0102269569618004,0.0202872021948755,0.0053702689433825,0.0109311408136699,0.0066819097572709,0.0044091608129866
2023-02-01,0.0092887995520664,0.0179748518507036,0.0015071185224555,0.0191015130876103,0.059374707916299,0.0069228806214719
2023-02-02,0.0091626513058423,0.0192767734866018,0.0007131704642437,0.0192380358492448,0.0078495721950781,0.0025245425710488
2023-02-03,0.00897841130894,0.0191925455797602,0.000796311876106,0.0126276008862173,0.0079868215950097,0.0025315935849507
2023-02-06,0.0091776808778895,0.0178985252402128,0.0005586222367582,0.0077451967175285,0.0070413887835057,0.0026924921185947
2023-02-07,0.0099066654405136,0.0174330620705319,0.004666785310331,0.0085243283822904,0.0066380442682051,0.003676783894682
2023-02-08,0.0093905791033312,0.0173960559111196,0.0019130756258832,0.0073149635813359,0.0067102208066938,0.0036734953056994
2023-02-09,0.0101381177514642,0.0162508341561246,0.0028110714502513,0.0097110328944134,0.0066480006088604,0.0064837095139552
2023-02-10,0.0109319425138593,0.0156854746612629,0.0057980915525582,0.0091971489957671,0.0079675600850325,0.0071574031752307
2023-02-13,0.0103465418145154,0.014533942637051,0.0001906253499071,0.0115730602826116,0.0149837403868403,0.0024908762328675
2023-02-14,0.0099473881125177,0.014476831130379,0.002383585992694,0.0073653117105098,0.0075658511266502,0.0027544067268414
2023-02-15,0.0092524170561826,0.0146233493860102,0.0025245950405964,0.0073154205226014,0.0090125179326369,0.0023698240491912
2023-02-16,0.0087823698118326,0.0141101709121373,0.0021902666685871,0.0078545373566544,0.0070988149762159,0.003267742371583
2023-02-17,0.0097462976200124,0.0138965003856976,0.0053152645460748,0.0073709449831324,0.007268332842939,0.004920569949528
2023-02-21,0.0097208528172928,0.0133718773277682,0.0040318269944447,0.0097926333026812,0.0074593200039122,0.0054865912303299
2023-02-22,0.0111661618586209,0.0129425918725057,0.0089109639664058,0.007305154921649,0.0080550112680119,0.0046899828535391
2023-02-23,0.0108068786137158,0.0125065243380821,0.0060213120989239,0.0099382248731274,0.0076304309163922,0.0061728426650431
2023-02-24,0.0101566241953776,0.0129021977829451,0.0008734598839693,0.0076871594293913,0.008574131198547,0.0042279000934338
2023-02-27,0.0107008649553962,0.0122788159408545,0.0019963890559438,0.0073089534482924,0.0098110871932375,0.0043454791277616
2023-02-28,0.0104509024457262,0.0125892705703864,0.0015023613523187,0.0093859253240233,0.0071304606056576,0.0042448764671065
2023-03-01,0.0102660518934637,0.0129207286720689,0.0002109303202859,0.0101868758632308,0.0066573985287473,0.0026217617664852
2023-03-02,0.0104800807767001,0.0126991022976326,0.0022982869588575,0.0095520307504467,0.0074306065022683,0.0052828390792785
2023-03-03,0.0101054340750013,0.0127426299533885,0.0002844326519061,0.0080962061423683,0.0089012683441203,0.0101207799271258
2023-03-06,0.0091688952064433,0.0126451789498372,0.0076258041958113,0.0085480208099742,0.0083858765102722,0.0061457752188019
2023-03-07,0.0095728882026553,0.0129004376330909,0.005548251457618,0.0140918715999601,0.0094710608382236,0.0096140060398575
2023-03-08,0.010197793495982,0.0130269616389743,0.0074964645866273,0.0115492170085448,0.0070192807358529,0.0099730722827092
2023-03-09,0.0100060410295902,0.0130526867470084,0.0051705503780042,0.0107937068626927,0.0076375069221546,0.0108961689181455
2023-03-10,0.0118646664845336,0.0129623743031952,0.0122724057053095,0.0073008380409184,0.0066932177873131,0.0145588729678972
2023-03-13,0.0121897816004493,0.0106902107824251,0.0083391000724363,0.0217563523573159,0.010127809540445,0.0089353273409093
2023-03-14,0.0132151453634179,0.0106761785971185,0.0093522366148743,0.0162051823007983,0.0097312201853279,0.0078269665593556
2023-03-15,0.0110454799568446,0.0101374767493569,0.0059073321824163,0.0135703768933937,0.0084775760751184,0.0023151675735471
2023-03-16,0.0126473087310162,0.0099846215210695,0.0071199191708391,0.0166561140370494,0.0101408359012479,0.0025123068676319
2023-03-17,0.0110093199721559,0.0102000697635465,0.0011750329638921,0.0167520848329677,0.0066951885718668,0.0024376405927429
2023-03-20,0.0128352878414129,0.0093288456729532,0.0057107915165268,0.0158055282196312,0.0152730396830661,0.0038273186390138
2023-03-21,0.0121545039508209,0.0100062413390165,0.0028577433942171,0.0114241365120202,0.0079178592789106,0.0047275072253724
2023-03-22,0.0108454118572606,0.0110202174082936,0.0062489346485887,0.0167119645194601,0.0068205876069154,0.0052052909781578
2023-03-23,0.0116576164335169,0.0107690034158372,0.0055708556008381,0.0093510653581102,0.0079364322990758,0.008915372800656
2023-03-24,0.0116496700048993,0.0103854335732871,0.0035939833446644,0.0074184843715621,0.0089520395895779,0.0061333610530197
2023-03-27,0.0111545478428264,0.0104984180908991,0.0003284449772765,0.0076827951523062,0.0097614206992293,0.0045235858935791
2023-03-28,0.0104378388372996,0.010564506262195,0.0041672019855191,0.0074969502973536,0.0083505269575583,0.0031066269179899
2023-03-29,0.0102996672680226,0.0108410995629657,0.0010759864842981,0.0078991386917463,0.0082926830344611,0.0030916861558522
2023-03-30,0.0096909101338707,0.0113888651935156,0.0013883212664529,0.0076813738906894,0.0075615813692907,0.0026683811745511
2023-03-31,0.0094591902462949,0.0113454073495626,0.000603599912602,0.0080892881839269,0.0069311603205036,0.003180443906084
2023-04-03,0.0092469177455979,0.0119628779043892,0.0002693831390682,0.0109172034773771,0.0087370286214719,0.0022883401125501
2023-04-04,0.008907079304561,0.0119014134042559,0.0008231450886375,0.0087561709556458,0.0069417997991649,0.0023630383106331
2023-04-05,0.0091119367031875,0.0114079165643745,0.0007777756970157,0.0074364851575115,0.0069091630839409,0.0024222283005366
2023-04-06,0.0091935500773988,0.0109797495956065,0.0010358474021633,0.0073059654292236,0.0076389254716443,0.002777787472575
2023-04-10,0.0087885930519783,0.010837166594769,0.0016440264000274,0.0093749609225977,0.0066338569088417,0.0037932288589735
2023-04-11,0.009058002622098,0.0116770369924482,0.0023134633649978,0.0094798192178476,0.0078821375130969,0.0039643519802059
2023-04-12,0.0090268139494041,0.0114087844457018,0.0023268477355023,0.0077312469541864,0.0066415369046787,0.0061359844119491
2023-04-13,0.0088977472004269,0.0113535627574698,0.0001550397709475,0.0073011050815039,0.0066721918968501,0.0029181533279409
2023-04-14,0.0082036683401337,0.0115059344719291,0.0021696997157423,0.0077510788177833,0.0073976388793065,0.0038458094794276
2023-04-17,0.0082392412945696,0.0119897934023216,0.0008345192822153,0.0092139791751843,0.0104083650677909,0.0025802275003905
2023-04-18,0.0078741261313146,0.0121759860874355,0.0001197240139598,0.0073769901465604,0.0072759046213966,0.0028179049114785
2023-04-19,0.0077547652598229,0.0123168222788104,0.0003636098732627,0.0089659219097989,0.006718381872526,0.0023172092950266
2023-04-20,0.00010879296578599969,0.010953863406745302,0.0011391902761502815,0.005717575189517185,0.0012627170099798655,0.00024832863265746746
2023-04-21,0.00011105405756164357,0.010041369257817094,0.0004461556348414022,0.0029239580314833146,0.00020004839150634208,0.00030025041202987897
