as_of,beta_1,beta_2,beta_3,beta_4,beta_5
2022-12-28,0.2250374632699184,-0.00480958324229237,0.237171410409117,0.019645340295359793,-0.03628239785232598
2022-12-29,0.22077412910456665,-0.013868791980155386,0.23524713519113602,0.014646204592504925,-0.03592413409032581
2022-12-30,0.22079597362561176,-0.009517137036316611,0.2351474865300544,0.014203261427288769,-0.03830802457384652
2023-01-03,0.2178159332489683,0.003819541418507738,0.2522690430822392,0.019652730071581262,-0.041225793344902964
2023-01-04,0.21741801368556762,-0.013586577539401084,0.25680003855720307,0.022647819354165964,-0.04145577541452802
2023-01-05,0.21484830112780423,0.001830761535020395,0.24531958395130418,0.016414614513302152,-0.041714285792022535
2023-01-06,0.21117722178618537,-0.01937679975312706,0.252185763001716,0.016327390960774013,-0.042091416705147766
2023-01-09,0.20986623349436773,0.000819745432448493,0.24209212334921104,0.007340888899466142,-0.03990383812840288
2023-01-10,0.20606555318058997,-0.008914284480351154,0.26738505025416004,0.027158391521893994,-0.04759283960076505
2023-01-11,0.20254602654680234,0.0032809425952310105,0.22770709542299006,-0.0029221173875309814,-0.037749426077817574
2023-01-12,0.20649882130396394,-0.06095683260966278,0.2666329016107619,0.015183929172041932,-0.050760747277890275
2023-01-13,0.20099993264330474,-0.056603212279646674,0.26128874188631696,0.007639947206805718,-0.04846059236899968
2023-01-17,0.1999967689722789,-0.04681430050986279,0.2752494055084436,0.010849172468160074,-0.05125502464985668
2023-01-18,0.19816110774232096,-0.025153367971596875,0.28773155817758217,0.01851466270167016,-0.053428288403124725
2023-01-19,0.20003337130236876,-0.01877725199825792,0.2866500710227505,0.02185946376739735,-0.05126540278841521
2023-01-20,0.1968567542557351,-0.035255806947975,0.29708480352320266,0.024018957926712315,-0.05390736472966839
2023-01-23,0.19281869132157342,-0.030301558813564947,0.2937271055709951,0.017562081882246516,-0.052888521856510204
2023-01-24,0.19166504434738849,-0.03131996478725163,0.2880762189249337,0.018209184965660753,-0.049144480723731586
2023-01-25,0.18740298960723262,-0.028639263509217742,0.299890214993216,0.021970739033372946,-0.05182918577289637
2023-01-26,0.1840894201446479,-0.028377808602808988,0.3027276459975433,0.02258808893825182,-0.05380013222281127
2023-01-27,0.18337649873980758,-0.02926905235869141,0.3017113495136054,0.02214132442574996,-0.05247152455154452
2023-01-30,0.182823455049587,0.003352767307409759,0.2927708110822266,0.02004224530897187,-0.05159023130194394
2023-01-31,0.18962812955427735,-0.03895058477199385,0.27488952171355496,0.08660569463553004,-0.04669596282814547
2023-02-01,0.18274129836389283,-0.03074138988779767,0.2838231039604614,0.013511847446393502,-0.049149640254815954
2023-02-02,0.1805053323021209,-0.03268574705068516,0.3155640421343678,0.019014533121005928,-0.05523582606381376
2023-02-03,0.1838702006000974,-0.03226879056083038,0.30881257492351344,0.02190185377142388,-0.0559356026589312
2023-02-06,0.18384679486672492,-0.008774437572032273,0.30296573085791717,0.019340840447291428,-0.05264375397536077
2023-02-07,0.18152131958024362,-0.021235406039061315,0.3077480984780937,0.018902594852075055,-0.05288439178476952
2023-02-08,0.18493962940766143,-0.003274906728240549,0.29919451605743264,0.018714185324260967,-0.04772500003179048
2023-02-09,0.18540331028422333,0.021437811278790825,0.29748225679773277,0.02224642247274676,-0.04563824954707106
2023-02-10,0.18848679681532765,-0.002888166385131323,0.31257790505096994,0.03410247607239625,-0.05416669918428719
